time_ns,generation,batch_active,queue_current_bytes,queue_predicted_bytes,pending_excess_bytes,arrival_wire_bps,service_wire_bps,base_target_bps,boost_requested_bps,boost_effective_bps,boost_lease_expire_ns,drain_bps,aggregate_requested_bps,aggregate_applied_bps,zone,veto_reason,background_applied_bps,incast_applied_bps
680000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
685000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
690000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
695000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
700000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
705000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
710000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
715000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
720000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
725000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
730000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
735000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
740000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
745000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
750000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
755000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
760000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
765000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
770000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
775000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
780000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
785000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
790000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
795000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
800000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
805000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
810000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
815000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
820000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
825000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
830000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
835000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
840000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
845000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
850000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
855000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
860000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
865000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
870000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
875000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
880000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
885000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
890000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
895000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
900000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
905000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
910000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
915000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
920000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
925000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
930000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
935000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
940000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
945000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
950000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
955000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
960000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
965000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
970000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
975000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
980000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
985000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
990000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
995000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1005000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1010000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1015000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1020000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1025000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1030000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1035000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1040000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1045000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1050000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1055000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1060000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1065000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1070000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1075000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1080000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1085000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1090000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
1095000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0,GREEN,0,0,0
