time_ns,event,link_id,node_id,if_index,packet_uid,packet_bytes
20015820,TX_BEGIN,0,84,1,773,1048
20015840,TX_END,0,84,1,773,1048
20015840,TX_BEGIN,0,84,1,775,1048
20015860,TX_END,0,84,1,775,1048
20015860,TX_BEGIN,0,84,1,777,1048
20015880,TX_END,0,84,1,777,1048
20015880,TX_BEGIN,0,84,1,779,1048
20015900,TX_END,0,84,1,779,1048
20015900,TX_BEGIN,0,84,1,781,1048
20015920,TX_END,0,84,1,781,1048
20015920,TX_BEGIN,0,84,1,783,1048
20015940,TX_END,0,84,1,783,1048
20015940,TX_BEGIN,0,84,1,785,1048
20015960,TX_END,0,84,1,785,1048
20015960,TX_BEGIN,0,84,1,787,1048
20015980,TX_END,0,84,1,787,1048
20015980,TX_BEGIN,0,84,1,789,1048
20016000,TX_END,0,84,1,789,1048
20016000,TX_BEGIN,0,84,1,791,1048
20016020,TX_END,0,84,1,791,1048
20016020,TX_BEGIN,0,84,1,793,1048
20016040,TX_END,0,84,1,793,1048
20016040,TX_BEGIN,0,84,1,795,1048
20016060,TX_END,0,84,1,795,1048
20016060,TX_BEGIN,0,84,1,797,1048
20016080,TX_END,0,84,1,797,1048
20016080,TX_BEGIN,0,84,1,799,1048
20016100,TX_END,0,84,1,799,1048
20016100,TX_BEGIN,0,84,1,801,1048
20016120,TX_END,0,84,1,801,1048
20016120,TX_BEGIN,0,84,1,803,1048
20016140,TX_END,0,84,1,803,1048
20016140,TX_BEGIN,0,84,1,805,1048
20016160,TX_END,0,84,1,805,1048
20016160,TX_BEGIN,0,84,1,807,1048
20016180,TX_END,0,84,1,807,1048
20016180,TX_BEGIN,0,84,1,809,1048
20016200,TX_END,0,84,1,809,1048
20016200,TX_BEGIN,0,84,1,811,1048
20016220,TX_END,0,84,1,811,1048
20016220,TX_BEGIN,0,84,1,813,1048
20016240,TX_END,0,84,1,813,1048
20016240,TX_BEGIN,0,84,1,815,1048
20016260,TX_END,0,84,1,815,1048
20016260,TX_BEGIN,0,84,1,817,1048
20016280,TX_END,0,84,1,817,1048
20016280,TX_BEGIN,0,84,1,819,1048
20016300,TX_END,0,84,1,819,1048
20016300,TX_BEGIN,0,84,1,821,1048
20016320,TX_END,0,84,1,821,1048
20016320,TX_BEGIN,0,84,1,823,1048
20016340,TX_END,0,84,1,823,1048
20016340,TX_BEGIN,0,84,1,825,1048
20016360,TX_END,0,84,1,825,1048
20016360,TX_BEGIN,0,84,1,827,1048
20016380,TX_END,0,84,1,827,1048
20016380,TX_BEGIN,0,84,1,829,1048
20016400,TX_END,0,84,1,829,1048
20016400,TX_BEGIN,0,84,1,831,1048
20016420,TX_END,0,84,1,831,1048
20016420,TX_BEGIN,0,84,1,833,1048
20016440,TX_END,0,84,1,833,1048
20016440,TX_BEGIN,0,84,1,835,1048
20016460,TX_END,0,84,1,835,1048
20016460,TX_BEGIN,0,84,1,837,1048
20016480,TX_END,0,84,1,837,1048
20016480,TX_BEGIN,0,84,1,839,1048
20016500,TX_END,0,84,1,839,1048
20016500,TX_BEGIN,0,84,1,841,1048
20016520,TX_END,0,84,1,841,1048
20016520,TX_BEGIN,0,84,1,843,1048
20016540,TX_END,0,84,1,843,1048
20016540,TX_BEGIN,0,84,1,845,1048
20016560,TX_END,0,84,1,845,1048
20016560,TX_BEGIN,0,84,1,847,1048
20016580,TX_END,0,84,1,847,1048
20016580,TX_BEGIN,0,84,1,849,1048
20016600,TX_END,0,84,1,849,1048
20016600,TX_BEGIN,0,84,1,851,1048
20016620,TX_END,0,84,1,851,1048
20016620,TX_BEGIN,0,84,1,853,1048
20016640,TX_END,0,84,1,853,1048
20016640,TX_BEGIN,0,84,1,855,1048
20016660,TX_END,0,84,1,855,1048
20016660,TX_BEGIN,0,84,1,857,1048
20016680,TX_END,0,84,1,857,1048
20016680,TX_BEGIN,0,84,1,859,1048
20016700,TX_END,0,84,1,859,1048
20016700,TX_BEGIN,0,84,1,861,1048
