time,link_id,queue_bytes,utilization,tx_bytes_delta,ecn_marks_delta,pfc_paused,pfc_event_delta,pfc_pause_ns_delta
0.11348,84:1,1039560,0.96,12000,0,0,0,0
0.11349,84:1,1028560,1.04,13000,0,0,0,0
0.1135,84:1,1017560,0.96,12000,0,0,0,0
0.11351,84:1,1006560,1.04,13000,0,0,0,0
0.11352,84:1,998952,0.96,12000,0,0,0,0
0.11353,84:1,988736,1.04,13000,0,0,0,0
0.11354,84:1,977736,0.96,12000,0,0,0,0
0.11355,84:1,964736,1.04,13000,0,0,0,0
0.11356,84:1,953736,0.96,12000,0,0,0,0
0.11357,84:1,941736,1.04,13000,0,0,0,0
0.11358,84:1,931736,0.96,12000,0,0,0,0
0.11359,84:1,919736,1.04,13000,0,0,0,0
0.1136,84:1,907736,0.96,12000,0,0,0,0
0.11361,84:1,895736,1.04,13000,0,0,0,0
0.11362,84:1,884736,0.96,12000,0,0,0,0
0.11363,84:1,873736,1.04,13000,0,0,0,0
0.11364,84:1,862736,0.96,12000,0,0,0,0
0.11365,84:1,850736,1.04,13000,0,0,0,0
0.11366,84:1,839736,0.96,12000,0,0,0,0
0.11367,84:1,828736,1.04,13000,0,0,0,0
0.11368,84:1,818736,1.04,13000,0,0,0,0
0.11369,84:1,810736,0.96,12000,0,0,0,0
0.1137,84:1,800128,1.04,13000,0,0,0,0
0.11371,84:1,789696,0.96,12000,0,0,0,0
0.11372,84:1,778088,1.04,13000,0,0,0,0
0.11373,84:1,766088,0.96,12000,0,0,0,0
0.11374,84:1,753088,1.04,13000,0,0,0,0
0.11375,84:1,742088,0.96,12000,0,0,0,0
0.11376,84:1,729088,1.04,13000,0,0,0,0
0.11377,84:1,717088,0.96,12000,0,0,0,0
0.11378,84:1,705088,1.04,13000,0,0,0,0
0.11379,84:1,693088,0.96,12000,0,0,0,0
0.1138,84:1,681088,1.04,13000,0,0,0,0
0.11381,84:1,669088,0.96,12000,0,0,0,0
0.11382,84:1,656088,1.04,13000,0,0,0,0
0.11383,84:1,645088,0.96,12000,0,0,0,0
0.11384,84:1,632088,1.04,13000,0,0,0,0
0.11385,84:1,621088,0.96,12000,0,0,0,0
0.11386,84:1,608088,1.04,13000,0,0,0,0
0.11387,84:1,597088,0.96,12000,0,0,0,0
0.11388,84:1,585088,1.04,13000,0,0,0,0
0.11389,84:1,573088,0.96,12000,0,0,0,0
0.1139,84:1,560088,1.04,13000,0,0,0,0
0.11391,84:1,548088,0.96,12000,0,0,0,0
0.11392,84:1,535088,1.04,13000,0,0,0,0
