time_ns,event,node_id,ifindex,link_id,packet_uid,size_bytes
2103996918,TX_END,84,1,0,2130383,1048
2103997137,TX_BEGIN,84,1,0,2130385,1048
2103997975,TX_END,84,1,0,2130385,1048
2103998194,TX_BEGIN,84,1,0,2130387,1048
2103999032,TX_END,84,1,0,2130387,1048
2103999251,TX_BEGIN,84,1,0,2130389,1048
2104000089,TX_END,84,1,0,2130389,1048
2104000308,TX_BEGIN,84,1,0,2130391,1048
2104001146,TX_END,84,1,0,2130391,1048
2104001365,TX_BEGIN,84,1,0,2130393,1048
2104002203,TX_END,84,1,0,2130393,1048
2104002422,TX_BEGIN,84,1,0,2130395,1048
2104003260,TX_END,84,1,0,2130395,1048
2104003479,TX_BEGIN,84,1,0,2130397,1048
2104004317,TX_END,84,1,0,2130397,1048
2104004536,TX_BEGIN,84,1,0,2130399,1048
2104005374,TX_END,84,1,0,2130399,1048
2104005593,TX_BEGIN,84,1,0,2130401,1048
2104006431,TX_END,84,1,0,2130401,1048
2104006650,TX_BEGIN,84,1,0,2130403,1048
2104007488,TX_END,84,1,0,2130403,1048
2104007707,TX_BEGIN,84,1,0,2130405,1048
2104008545,TX_END,84,1,0,2130405,1048
2104008764,TX_BEGIN,84,1,0,2130407,1048
2104009602,TX_END,84,1,0,2130407,1048
2104009821,TX_BEGIN,84,1,0,2130409,1048
2104010659,TX_END,84,1,0,2130409,1048
2104010878,TX_BEGIN,84,1,0,2130411,1048
2104011716,TX_END,84,1,0,2130411,1048
2104011935,TX_BEGIN,84,1,0,2130413,1048
2104012773,TX_END,84,1,0,2130413,1048
2104012992,TX_BEGIN,84,1,0,2130415,1048
2104013830,TX_END,84,1,0,2130415,1048
2104014049,TX_BEGIN,84,1,0,2130417,1048
2104014887,TX_END,84,1,0,2130417,1048
2104015106,TX_BEGIN,84,1,0,2130419,1048
2104015944,TX_END,84,1,0,2130419,1048
2104016163,TX_BEGIN,84,1,0,2130421,1048
2104017001,TX_END,84,1,0,2130421,1048
2104017220,TX_BEGIN,84,1,0,2130423,1048
2104018058,TX_END,84,1,0,2130423,1048
2104018277,TX_BEGIN,84,1,0,2130425,1048
2104019115,TX_END,84,1,0,2130425,1048
2104019334,TX_BEGIN,84,1,0,2130427,1048
2104020172,TX_END,84,1,0,2130427,1048
2104020391,TX_BEGIN,84,1,0,2130429,1048
2104021229,TX_END,84,1,0,2130429,1048
2104021448,TX_BEGIN,84,1,0,2130431,1048
2104022286,TX_END,84,1,0,2130431,1048
2104022505,TX_BEGIN,84,1,0,2130433,1048
2104023343,TX_END,84,1,0,2130433,1048
2104023562,TX_BEGIN,84,1,0,2130435,1048
2104024400,TX_END,84,1,0,2130435,1048
2104024619,TX_BEGIN,84,1,0,2130437,1048
2104025457,TX_END,84,1,0,2130437,1048
2104025676,TX_BEGIN,84,1,0,2130439,1048
2104026514,TX_END,84,1,0,2130439,1048
2104026733,TX_BEGIN,84,1,0,2130441,1048
2104027571,TX_END,84,1,0,2130441,1048
2104027790,TX_BEGIN,84,1,0,2130443,1048
2104028628,TX_END,84,1,0,2130443,1048
2104028847,TX_BEGIN,84,1,0,2130445,1048
2104029685,TX_END,84,1,0,2130445,1048
2104029904,TX_BEGIN,84,1,0,2130447,1048
2104030742,TX_END,84,1,0,2130447,1048
2104030961,TX_BEGIN,84,1,0,2130449,1048
2104031799,TX_END,84,1,0,2130449,1048
2104032018,TX_BEGIN,84,1,0,2130451,1048
2104032856,TX_END,84,1,0,2130451,1048
2104033075,TX_BEGIN,84,1,0,2130453,1048
2104033913,TX_END,84,1,0,2130453,1048
2104034132,TX_BEGIN,84,1,0,2130455,1048
2104034970,TX_END,84,1,0,2130455,1048
2104035189,TX_BEGIN,84,1,0,2130457,1048
2104036027,TX_END,84,1,0,2130457,1048
2104036246,TX_BEGIN,84,1,0,2130459,1048
2104037084,TX_END,84,1,0,2130459,1048
2104037303,TX_BEGIN,84,1,0,2130461,1048
2104038141,TX_END,84,1,0,2130461,1048
2104038360,TX_BEGIN,84,1,0,2130463,1048
2104039198,TX_END,84,1,0,2130463,1048
2104039417,TX_BEGIN,84,1,0,2130465,1048
2104040255,TX_END,84,1,0,2130465,1048
2104040474,TX_BEGIN,84,1,0,2130467,1048
2104041312,TX_END,84,1,0,2130467,1048
2104041531,TX_BEGIN,84,1,0,2130469,1048
2104042369,TX_END,84,1,0,2130469,1048
2104042588,TX_BEGIN,84,1,0,2130471,1048
2104043426,TX_END,84,1,0,2130471,1048
2104043645,TX_BEGIN,84,1,0,2130473,1048
2104044483,TX_END,84,1,0,2130473,1048
2104044702,TX_BEGIN,84,1,0,2130475,1048
2104045540,TX_END,84,1,0,2130475,1048
2104045759,TX_BEGIN,84,1,0,2130477,1048
2104046597,TX_END,84,1,0,2130477,1048
2104046816,TX_BEGIN,84,1,0,2130479,1048
2104047654,TX_END,84,1,0,2130479,1048
2104047873,TX_BEGIN,84,1,0,2130481,1048
2104048711,TX_END,84,1,0,2130481,1048
2104048930,TX_BEGIN,84,1,0,2130483,1048
2104049768,TX_END,84,1,0,2130483,1048
2104049987,TX_BEGIN,84,1,0,2130485,1048
2104050825,TX_END,84,1,0,2130485,1048
2104051044,TX_BEGIN,84,1,0,2130487,1048
2104051882,TX_END,84,1,0,2130487,1048
2104052101,TX_BEGIN,84,1,0,2130489,1048
2104052939,TX_END,84,1,0,2130489,1048
2104053158,TX_BEGIN,84,1,0,2130491,1048
2104053996,TX_END,84,1,0,2130491,1048
2104054215,TX_BEGIN,84,1,0,2130493,1048
2104055053,TX_END,84,1,0,2130493,1048
2104055272,TX_BEGIN,84,1,0,2130495,1048
2104056110,TX_END,84,1,0,2130495,1048
2104056329,TX_BEGIN,84,1,0,2130497,1048
2104057167,TX_END,84,1,0,2130497,1048
2104057386,TX_BEGIN,84,1,0,2130499,1048
2104058224,TX_END,84,1,0,2130499,1048
2104058443,TX_BEGIN,84,1,0,2130501,1048
2104059281,TX_END,84,1,0,2130501,1048
2104059500,TX_BEGIN,84,1,0,2130503,1048
2104060338,TX_END,84,1,0,2130503,1048
