time_ns,epoch,batch_id,flow_id,phase_before,phase_after,old_rate_bps,target_rate_bps,new_rate_bps,reason,root_id,feedback_age_ns,credit_remaining_bytes,protection_floor_bps,rebalance_start_ns,rebalance_end_ns,stale_feedback,capacity_valid,role,owner_before,owner_after,side,actuation_kind,applied_rate_after_bps
10730001,2146,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10735001,2147,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10740001,2148,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10745001,2149,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10750001,2150,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10755001,2151,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10760001,2152,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10765001,2153,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10770001,2154,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10775001,2155,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10780001,2156,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10785001,2157,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10790001,2158,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10795001,2159,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10800001,2160,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10805001,2161,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10810001,2162,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10815001,2163,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10820001,2164,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10825001,2165,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10830001,2166,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10835001,2167,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10840001,2168,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10845001,2169,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10850001,2170,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10855001,2171,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10860001,2172,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10865001,2173,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10870001,2174,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10875001,2175,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10880001,2176,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10885001,2177,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10890001,2178,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10895001,2179,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10900001,2180,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10905001,2181,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10910001,2182,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10915001,2183,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10920001,2184,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10925001,2185,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10930001,2186,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10935001,2187,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10940001,2188,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10945001,2189,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10950001,2190,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10955001,2191,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10960001,2192,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10965001,2193,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10970001,2194,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10975001,2195,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10980001,2196,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10985001,2197,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10990001,2198,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
10995001,2199,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
11000001,2200,0,0,11,11,320000000000,400000000000,400000000000,6,0,0,0,0,0,0,0,1,1,0,0,2,0,320000000000
20005001,4001,1,1,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,2,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,3,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,4,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,5,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,6,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,7,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,8,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,9,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,10,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
20005001,4001,1,11,11,11,5750000000,4201680672,4201680672,6,0,0,0,0,0,0,0,1,0,0,0,2,0,4201680672
