# pg0 (INVALID: background on ECN-exempt queue 0) vs pg3 (corrected)
# ratio = pg0/pg3 for latency-like metrics; >1 means pg3 is better
scenario,algorithm,metric,pg0_invalid,pg3_corrected,ratio_or_delta
s4,dcqcn,cct_ms,1227.327340,159.069245,7.7157
s4,dcqcn,incast_agg_gbps,0.476233,9.088840,8.6126
s4,dcqcn,bg_retention_pct,100.000112,63.688624,-36.3115
s4,dcqcn,bg_min_gbps,9.066667,0.101010,-8.9657
s4,dcqcn,queue_peak_bytes,1275416.000000,1276464.000000,1048.0000
s4,dcqcn,ecn_marks,9582.000000,6622.000000,-2960.0000
s4,dctcp,fct_mean_ms,1126.614641,56.614564,19.8997
s4,dctcp,fct_p99_ms,1127.320690,57.244099,19.6932
s4,dctcp,cct_ms,1227.327340,157.307766,7.8021
s4,dctcp,incast_agg_gbps,0.476233,9.368205,8.8920
s4,dctcp,bg_retention_pct,100.000112,64.284035,-35.7161
s4,dctcp,bg_min_gbps,9.066667,0.149495,-8.9172
s4,dctcp,queue_peak_bytes,1275416.000000,1276464.000000,1048.0000
s4,dctcp,ecn_marks,9582.000000,9030.000000,-552.0000
s4,timely,fct_mean_ms,1118.272418,57.266689,19.5275
s4,timely,fct_p99_ms,1118.974858,57.867920,19.3367
s4,timely,cct_ms,1218.981025,157.899885,7.7200
s4,timely,incast_agg_gbps,0.479786,9.272400,8.7926
s4,timely,bg_retention_pct,100.000028,64.012189,-35.9878
s4,timely,bg_min_gbps,8.993939,0.092929,-8.9010
s4,timely,queue_peak_bytes,1285152.000000,1278816.000000,-6336.0000
s4,timely,ecn_marks,9694.000000,1646.000000,-8048.0000
s4,hpcc,fct_mean_ms,59.666596,59.706045,0.9993
s4,hpcc,fct_p99_ms,60.242022,60.317270,0.9988
s4,hpcc,cct_ms,160.313452,160.340659,0.9998
s4,hpcc,incast_agg_gbps,8.901346,8.897333,-0.0040
s4,hpcc,bg_retention_pct,62.997896,63.020498,0.0226
