time_ns,event,entity,role_or_zone_or_state,requested_or_target_bps,commanded_or_aggreq_bps,applied_bps,owner,queue_B_or_phase,Q_pred_B,boost_bps,drain_bps
996400000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996405000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996410000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996415000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996420000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996425000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996430000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996435000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996440000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996445000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996450000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996455000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996460000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996465000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996470000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996475000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996480000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996485000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996490000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996495000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996500000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996505000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996510000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996515000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996520000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996525000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996530000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996535000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996540000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996545000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996550000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996555000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996560000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996565000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996570000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996575000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996580000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996585000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996590000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996595000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996600000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996605000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996610000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996615000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996620000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996625000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996630000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996635000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996640000,epoch,link0,GREEN,0,0,0,,0,0,0,0
996645000,epoch,link0,GREEN,0,0,0,,0,0,0,0
