time: 1990000000
78 5 7001
78 6 7001
78 7 7001
78 8 7001
79 1 7001
79 2 7001
79 3 7001
79 4 7001
79 5 7001
79 6 7001
79 7 7001
79 8 7001
80 1 7001
80 2 7001
80 3 7001
80 4 7001
80 5 7001
80 6 7001
80 7 7001
80 8 7001
81 1 7001
81 2 7001
81 3 7001
81 4 7001
81 5 7001
81 6 7001
81 7 7001
81 8 7001
82 1 7001
82 2 7001
82 3 7001
82 4 7001
82 5 7001
82 6 7001
82 7 7001
82 8 7001
83 1 7001
83 2 7001
83 3 7001
83 4 7001
83 5 7001
83 6 7001
83 7 7001
83 8 7001
84 1 7001
84 2 7001
84 3 7001
84 4 7001
84 5 7001
84 6 7001
84 7 7001
84 8 7001
85 1 7001
85 2 7001
85 3 7001
85 4 7001
85 5 7001
85 6 7001
85 7 7001
85 8 7001
85 9 7001
85 10 7001
85 11 7001
85 12 7001
85 13 7001
85 14 7001
85 15 7001
85 16 7001
85 17 7001
86 1 7001
86 2 7001
86 3 7001
86 4 7001
86 5 7001
86 6 7001
86 7 7001
86 8 7001
86 9 7001
86 10 7001
86 11 7001
86 12 7001
86 13 7001
86 14 7001
86 15 7001
86 16 7001
86 17 7001
87 1 7001
87 2 7001
87 3 7001
87 4 7001
87 5 7001
87 6 7001
87 7 7001
87 8 7001
87 9 7001
87 10 7001
87 11 7001
87 12 7001
87 13 7001
87 14 7001
87 15 7001
87 16 7001
87 17 7001
88 1 7001
88 2 7001
88 3 7001
88 4 7001
88 5 7001
88 6 7001
88 7 7001
88 8 7001
88 9 7001
88 10 7001
88 11 7001
88 12 7001
88 13 7001
88 14 7001
88 15 7001
88 16 7001
88 17 7001
time: 1990800000
68 1 8001
68 2 8001
68 3 8001
68 4 8001
68 5 8001
68 6 8001
68 7 8001
68 8 8001
69 1 8001
69 2 8001
69 3 8001
69 4 8001
69 5 8001
69 6 8001
69 7 8001
69 8 8001
70 1 8001
70 2 8001
70 3 8001
70 4 8001
70 5 8001
70 6 8001
70 7 8001
70 8 8001
71 1 8001
71 2 8001
71 3 8001
71 4 8001
71 5 8001
71 6 8001
71 7 8001
71 8 8001
72 1 8001
72 2 8001
72 3 8001
72 4 8001
72 5 8001
72 6 8001
72 7 8001
72 8 8001
73 1 8001
73 2 8001
73 3 8001
73 4 8001
73 5 8001
73 6 8001
73 7 8001
73 8 8001
74 1 8001
74 2 8001
74 3 8001
74 4 8001
74 5 8001
74 6 8001
74 7 8001
74 8 8001
75 1 8001
75 2 8001
75 3 8001
75 4 8001
75 5 8001
75 6 8001
75 7 8001
75 8 8001
76 1 8001
76 2 8001
76 3 8001
76 4 8001
76 5 8001
76 6 8001
76 7 8001
76 8 8001
77 1 8001
77 2 8001
77 3 8001
77 4 8001
77 5 8001
77 6 8001
77 7 8001
77 8 8001
78 1 8001
78 2 8001
78 3 8001
78 4 8001
78 5 8001
78 6 8001
78 7 8001
78 8 8001
79 1 8001
79 2 8001
79 3 8001
79 4 8001
79 5 8001
79 6 8001
79 7 8001
79 8 8001
80 1 8001
80 2 8001
80 3 8001
80 4 8001
80 5 8001
80 6 8001
80 7 8001
80 8 8001
81 1 8001
81 2 8001
81 3 8001
81 4 8001
81 5 8001
81 6 8001
81 7 8001
81 8 8001
82 1 8001
82 2 8001
82 3 8001
82 4 8001
82 5 8001
82 6 8001
82 7 8001
82 8 8001
83 1 8001
83 2 8001
83 3 8001
83 4 8001
83 5 8001
83 6 8001
83 7 8001
83 8 8001
84 1 8001
84 2 8001
84 3 8001
84 4 8001
84 5 8001
84 6 8001
84 7 8001
84 8 8001
85 1 8001
85 2 8001
85 3 8001
85 4 8001
85 5 8001
85 6 8001
85 7 8001
85 8 8001
85 9 8001
85 10 8001
85 11 8001
85 12 8001
85 13 8001
85 14 8001
85 15 8001
85 16 8001
85 17 8001
86 1 8001
86 2 8001
86 3 8001
86 4 8001
86 5 8001
86 6 8001
86 7 8001
86 8 8001
86 9 8001
86 10 8001
86 11 8001
86 12 8001
86 13 8001
86 14 8001
86 15 8001
86 16 8001
86 17 8001
87 1 8001
87 2 8001
87 3 8001
87 4 8001
87 5 8001
87 6 8001
87 7 8001
87 8 8001
87 9 8001
87 10 8001
87 11 8001
87 12 8001
87 13 8001
87 14 8001
87 15 8001
87 16 8001
87 17 8001
88 1 8001
88 2 8001
88 3 8001
88 4 8001
88 5 8001
88 6 8001
88 7 8001
88 8 8001
88 9 8001
88 10 8001
88 11 8001
88 12 8001
88 13 8001
88 14 8001
88 15 8001
88 16 8001
88 17 8001
time: 1990900000
68 1 9001
68 2 9001
68 3 9001
68 4 9001
68 5 9001
68 6 9001
68 7 9001
68 8 9001
69 1 9001
69 2 9001
69 3 9001
69 4 9001
69 5 9001
69 6 9001
69 7 9001
69 8 9001
70 1 9001
70 2 9001
70 3 9001
70 4 9001
70 5 9001
70 6 9001
70 7 9001
70 8 9001
71 1 9001
71 2 9001
71 3 9001
71 4 9001
71 5 9001
71 6 9001
71 7 9001
71 8 9001
72 1 9001
72 2 9001
72 3 9001
72 4 9001
72 5 9001
72 6 9001
72 7 9001
72 8 9001
73 1 9001
73 2 9001
73 3 9001
73 4 9001
73 5 9001
73 6 9001
73 7 9001
73 8 9001
74 1 9001
74 2 9001
74 3 9001
74 4 9001
74 5 9001
74 6 9001
74 7 9001
74 8 9001
75 1 9001
75 2 9001
75 3 9001
75 4 9001
75 5 9001
75 6 9001
75 7 9001
75 8 9001
76 1 9001
76 2 9001
76 3 9001
76 4 9001
76 5 9001
76 6 9001
76 7 9001
76 8 9001
77 1 9001
77 2 9001
77 3 9001
77 4 9001
77 5 9001
77 6 9001
77 7 9001
77 8 9001
78 1 9001
78 2 9001
78 3 9001
78 4 9001
78 5 9001
78 6 9001
78 7 9001
78 8 9001
79 1 9001
79 2 9001
79 3 9001
79 4 9001
79 5 9001
79 6 9001
79 7 9001
79 8 9001
80 1 9001
80 2 9001
80 3 9001
80 4 9001
80 5 9001
80 6 9001
80 7 9001
80 8 9001
81 1 9001
81 2 9001
81 3 9001
81 4 9001
81 5 9001
81 6 9001
81 7 9001
81 8 9001
82 1 9001
82 2 9001
82 3 9001
82 4 9001
82 5 9001
82 6 9001
82 7 9001
82 8 9001
83 1 9001
83 2 9001
83 3 9001
83 4 9001
83 5 9001
83 6 9001
83 7 9001
83 8 9001
84 1 9001
84 2 9001
84 3 9001
84 4 9001
84 5 9001
84 6 9001
84 7 9001
84 8 9001
85 1 9001
85 2 9001
85 3 9001
85 4 9001
85 5 9001
85 6 9001
85 7 9001
85 8 9001
85 9 9001
85 10 9001
85 11 9001
85 12 9001
85 13 9001
85 14 9001
85 15 9001
85 16 9001
85 17 9001
86 1 9001
86 2 9001
86 3 9001
86 4 9001
86 5 9001
86 6 9001
86 7 9001
86 8 9001
86 9 9001
86 10 9001
86 11 9001
86 12 9001
86 13 9001
86 14 9001
86 15 9001
86 16 9001
86 17 9001
87 1 9001
87 2 9001
87 3 9001
87 4 9001
87 5 9001
87 6 9001
87 7 9001
87 8 9001
