metric_id,category,algorithm,scenario,window,scope,statistic,value,unit,numerator,denominator,sample_count,source_file,source_columns,formula,evidence_type,availability,notes
A.sha.input.s3_cbap_path.txt,identity,BOTH,S3,W0,input,sha256,1557487d29e7efb585a37c34ca8056767d5369f510c2bcaf26bed1b1bff649e3,hex,,,,s3_cbap_path.txt,,,MEASURED,AVAILABLE,identical for both arms (verified)
A.cfg.CBAP_MIGRATION_ENABLE,identity,CBAP,S3,W0,config,value,1,text,,,,ckpt4_cbap_s3.txt,CBAP_MIGRATION_ENABLE,,MEASURED,AVAILABLE,
A.cfg.CBAP_MIGRATION_ENABLE,identity,DCQCN,S3,W0,config,value,ABSENT,text,,,,ckpt4_dcqcn_s3.txt,CBAP_MIGRATION_ENABLE,,MEASURED,AVAILABLE,
A.cfg.CBAP_CORE_INITIAL_RELEASE,identity,CBAP,S3,W0,config,value,1,text,,,,ckpt4_cbap_s3.txt,CBAP_CORE_INITIAL_RELEASE,,MEASURED,AVAILABLE,
A.cfg.CBAP_CORE_INITIAL_RELEASE,identity,DCQCN,S3,W0,config,value,ABSENT,text,,,,ckpt4_dcqcn_s3.txt,CBAP_CORE_INITIAL_RELEASE,,MEASURED,AVAILABLE,
A.cfg.CBAP_INITIAL_RELEASE_RATIO,identity,CBAP,S3,W0,config,value,0.90,text,,,,ckpt4_cbap_s3.txt,CBAP_INITIAL_RELEASE_RATIO,,MEASURED,AVAILABLE,
A.cfg.CBAP_INITIAL_RELEASE_RATIO,identity,DCQCN,S3,W0,config,value,ABSENT,text,,,,ckpt4_dcqcn_s3.txt,CBAP_INITIAL_RELEASE_RATIO,,MEASURED,AVAILABLE,
A.cfg.CBAP_MIGRATION_TRACE,identity,CBAP,S3,W0,config,value,1,text,,,,ckpt4_cbap_s3.txt,CBAP_MIGRATION_TRACE,,MEASURED,AVAILABLE,
A.cfg.CBAP_MIGRATION_TRACE,identity,DCQCN,S3,W0,config,value,ABSENT,text,,,,ckpt4_dcqcn_s3.txt,CBAP_MIGRATION_TRACE,,MEASURED,AVAILABLE,
A.cfg.CC_MODE,identity,CBAP,S3,W0,config,value,30,text,,,,ckpt4_cbap_s3.txt,CC_MODE,,MEASURED,AVAILABLE,
A.cfg.CC_MODE,identity,DCQCN,S3,W0,config,value,1,text,,,,ckpt4_dcqcn_s3.txt,CC_MODE,,MEASURED,AVAILABLE,
A.cfg.CBAP_ENABLE,identity,CBAP,S3,W0,config,value,1,text,,,,ckpt4_cbap_s3.txt,CBAP_ENABLE,,MEASURED,AVAILABLE,
A.cfg.CBAP_ENABLE,identity,DCQCN,S3,W0,config,value,0,text,,,,ckpt4_dcqcn_s3.txt,CBAP_ENABLE,,MEASURED,AVAILABLE,
A.cfg.SIM_SEED,identity,CBAP,S3,W0,config,value,2,text,,,,ckpt4_cbap_s3.txt,SIM_SEED,,MEASURED,AVAILABLE,
A.cfg.SIM_SEED,identity,DCQCN,S3,W0,config,value,2,text,,,,ckpt4_dcqcn_s3.txt,SIM_SEED,,MEASURED,AVAILABLE,
A.cfg.SIMULATOR_STOP_TIME,identity,CBAP,S3,W0,config,value,3.0,text,,,,ckpt4_cbap_s3.txt,SIMULATOR_STOP_TIME,,MEASURED,AVAILABLE,
A.cfg.SIMULATOR_STOP_TIME,identity,DCQCN,S3,W0,config,value,3.0,text,,,,ckpt4_dcqcn_s3.txt,SIMULATOR_STOP_TIME,,MEASURED,AVAILABLE,
